val/loss,train/loss,train/step_loss,iter,_step,lr,_runtime,_timestamp,Sample Generation,seed
5.469336986541748,5.479776382446289,,0.0,0,9.900990099009901e-06,12.46329,1779636918.3457234,,3740
,,5.087025165557861,0.0,1,,12.5711768,1779636918.4537513,,3740
,,4.206793785095215,10.0,2,,13.5213152,1779636919.4046662,,3740
,,3.3424015045166016,20.0,3,,14.4680991,1779636920.3509467,,3740
,,3.31612491607666,30.0,4,,15.4127044,1779636921.295549,,3740
,,3.2960596084594727,40.0,5,,16.3537037,1779636922.2365499,,3740
,,3.322720527648926,50.0,6,,17.2960216,1779636923.1788661,,3740
,,3.0385937690734863,60.0,7,,18.2320759,1779636924.1149223,,3740
,,2.694125175476074,70.0,8,,19.1771379,1779636925.0598073,,3740
,,2.6124267578125,80.0,9,,20.1289886,1779636926.0116227,,3740
,,2.5429959297180176,90.0,10,,21.0747563,1779636926.9575129,,3740
,,2.5068202018737793,100.0,11,,22.0209341,1779636927.9035218,,3740
,,2.496652603149414,110.0,12,,22.9708037,1779636928.8536484,,3740
,,2.4741299152374268,120.0,13,,23.9081729,1779636929.7910185,,3740
,,2.4694457054138184,130.0,14,,24.8580718,1779636930.7403219,,3740
,,2.442685127258301,140.0,15,,25.8040044,1779636931.6860828,,3740
,,2.4274213314056396,150.0,16,,26.7484451,1779636932.631288,,3740
,,2.4414308071136475,160.0,17,,27.6956984,1779636933.5775445,,3740
,,2.3982014656066895,170.0,18,,28.6517803,1779636934.5346274,,3740
,,2.348395586013794,180.0,19,,29.599348,1779636935.482076,,3740
,,2.3303825855255127,190.0,20,,30.5430915,1779636936.4259381,,3740
,,2.2951509952545166,200.0,21,,31.5020008,1779636937.3847947,,3740
,,2.270395278930664,210.0,22,,32.4458711,1779636938.3287172,,3740
,,2.251199245452881,220.0,23,,33.394423,1779636939.2772398,,3740
,,2.230409622192383,230.0,24,,34.3432507,1779636940.2260969,,3740
,,2.186420202255249,240.0,25,,35.2915482,1779636941.174187,,3740
2.1820764541625977,2.1131982803344727,,250.0,26,0.0009979206008271391,48.2952932,1779636954.177719,,3740
,,2.17986798286438,250.0,27,,48.3944814,1779636954.277237,,3740
,,2.1381895542144775,260.0,28,,49.3462385,1779636955.229082,,3740
,,2.1183080673217773,270.0,29,,50.2954195,1779636956.1782646,,3740
,,2.0964012145996094,280.0,30,,51.2403786,1779636957.1232226,,3740
,,2.0455925464630127,290.0,31,,52.1879223,1779636958.0707684,,3740
,,2.0238499641418457,300.0,32,,53.1294147,1779636959.0127654,,3740
,,1.9891103506088257,310.0,33,,54.0856224,1779636959.9682107,,3740
,,2.0393471717834473,320.0,34,,55.0430064,1779636960.9257576,,3740
,,1.955191731452942,330.0,35,,56.0044519,1779636961.8872979,,3740
