lr,_runtime,_timestamp,iter,_step,val/loss,train/loss,train/step_loss,Sample Generation,seed
9.900990099009901e-06,11.9289554,1779713309.1810598,0.0,0,4.343104362487793,4.34660530090332,,,6242
,12.0266165,1779713309.2791934,0.0,1,,,4.3302764892578125,,6242
,12.8954887,1779713310.1480863,10.0,2,,,3.286546230316162,,6242
,13.7641975,1779713311.016774,20.0,3,,,2.8707785606384277,,6242
,14.633691,1779713311.8862898,30.0,4,,,2.6638779640197754,,6242
,15.5041283,1779713312.7561483,40.0,5,,,2.5662574768066406,,6242
,16.3757323,1779713313.628189,50.0,6,,,2.5342180728912354,,6242
,17.2448846,1779713314.4967432,60.0,7,,,2.501016616821289,,6242
,18.1142629,1779713315.366974,70.0,8,,,2.489962577819824,,6242
,18.983919,1779713316.2365181,80.0,9,,,2.481699228286743,,6242
,19.8546415,1779713317.1072369,90.0,10,,,2.4828619956970215,,6242
,20.7249669,1779713317.9764106,100.0,11,,,2.477994203567505,,6242
,21.5950453,1779713318.847585,110.0,12,,,2.462531566619873,,6242
,22.4643272,1779713319.7166808,120.0,13,,,2.4370648860931396,,6242
,23.3457772,1779713320.598282,130.0,14,,,2.4140195846557617,,6242
,24.2139038,1779713321.4665034,140.0,15,,,2.4060206413269043,,6242
,25.0834997,1779713322.336099,150.0,16,,,2.4076192378997803,,6242
,25.9529431,1779713323.2055075,160.0,17,,,2.3434698581695557,,6242
,26.8207379,1779713324.073074,170.0,18,,,2.330606698989868,,6242
,27.6893087,1779713324.941908,180.0,19,,,2.337477684020996,,6242
,28.5581624,1779713325.810665,190.0,20,,,2.266976833343506,,6242
,29.428201,1779713326.6806126,200.0,21,,,2.1913399696350098,,6242
,30.2974248,1779713327.549387,210.0,22,,,2.1992876529693604,,6242
,31.1673371,1779713328.4193838,220.0,23,,,2.1596322059631348,,6242
,32.0374268,1779713329.2900252,230.0,24,,,2.1268768310546875,,6242
,32.9064235,1779713330.1588302,240.0,25,,,2.105247974395752,,6242
0.0009979206008271391,45.0315712,1779713342.2834067,250.0,26,2.096482515335083,1.9844952821731567,,,6242
,45.1229031,1779713342.375503,250.0,27,,,2.0724425315856934,,6242
,45.9922818,1779713343.2447038,260.0,28,,,2.0171709060668945,,6242
,46.8618251,1779713344.1144266,270.0,29,,,2.004446029663086,,6242
,47.7315333,1779713344.9841318,280.0,30,,,1.9402785301208496,,6242
,48.5999728,1779713345.8521075,290.0,31,,,1.955268383026123,,6242
,49.4684546,1779713346.7210336,300.0,32,,,1.8982480764389038,,6242
,50.337098,1779713347.5896995,310.0,33,,,1.8191415071487427,,6242
